name,description,type,category,brand,sku,price,salePrice,stock,img,color,forMen,forWomen,sizes
Nike Air Max 90,Classic Air Max cushioning meets iconic style. Premium leather and mesh upper with visible Air unit.,Shoes,New Arrivals,Nike,NKE-AM90-001,140,,50,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&q=80&w=800,White/Black,true,false,"39,40,41,42,43,44,45"
Adidas Ultraboost 22,Responsive Boost cushioning with Primeknit upper. Energy return with every step.,Shoes,Best Sellers,Adidas,ADS-UB22-002,180,144,35,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&q=80&w=800,Core Black,true,true,"38,39,40,41,42,43,44,45"
Nike Tech Fleece Hoodie,Premium fleece fabric engineered for warmth without weight. Modern fit with kangaroo pocket.,Clothing,Premium Collection,Nike,NKE-TF-H-003,110,,80,https://images.unsplash.com/photo-1556821840-3a63f95609a7?auto=format&fit=crop&q=80&w=800,Black,true,false,"S,M,L,XL,XXL"
Jordan 1 Retro High,The icon that started it all. Premium leather construction with Nike Air cushioning.,Shoes,Best Sellers,Jordan,JRD-1RH-004,170,,25,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&q=80&w=800,Chicago Red,true,false,"39,40,41,42,43,44,45,46"
Nike Tech Fleece Joggers,Lightweight warmth with a modern tapered fit. Zippered pockets for secure storage.,Clothing,Premium Collection,Nike,NKE-TF-J-005,90,,60,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?auto=format&fit=crop&q=80&w=800,Grey,true,false,"S,M,L,XL,XXL"
New Balance 550,Retro basketball style meets modern comfort. Premium leather with vintage appeal.,Shoes,New Arrivals,New Balance,NB-550-006,120,96,40,https://images.unsplash.com/photo-1539185441755-769473a23570?auto=format&fit=crop&q=80&w=800,White/Green,true,true,"38,39,40,41,42,43,44"
Adidas Originals Hoodie,Classic trefoil logo on premium cotton blend. Relaxed fit with ribbed cuffs.,Clothing,On Sale,Adidas,ADS-OG-H-007,70,49,90,https://images.unsplash.com/photo-1556821840-3a63f95609a7?auto=format&fit=crop&q=80&w=800,Navy Blue,true,true,"S,M,L,XL,XXL"
Nike Air Force 1,The legend since 1982. Full-grain leather upper with Air-Sole cushioning.,Shoes,Best Sellers,Nike,NKE-AF1-008,110,,70,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&q=80&w=800,Triple White,true,true,"36,37,38,39,40,41,42,43,44,45"
Puma RS-X,Bold retro running design with chunky silhouette. Mesh and synthetic upper.,Shoes,On Sale,Puma,PMA-RSX-009,130,91,45,https://images.unsplash.com/photo-1514989940723-e8e51635b782?auto=format&fit=crop&q=80&w=800,Multi Color,true,false,"39,40,41,42,43,44,45"
Nike Sportswear Club Tee,Everyday comfort in soft cotton jersey. Classic fit with iconic Swoosh logo.,Clothing,Outlet,Nike,NKE-NSW-T-010,30,21,120,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&q=80&w=800,Black,true,true,"S,M,L,XL,XXL"
